Timestamp(ms),Corrente(mA)
104310,-29.50
104423,-34.20
104536,-29.60
104649,-33.80
104762,-29.60
104875,-35.00
104988,-33.90
105101,-35.40
105214,-29.60
105327,-29.30
105440,-33.80
105553,-29.60
105666,-29.40
105779,-35.40
105892,-35.00
106005,-33.80
106118,-33.70
106231,-33.60
106344,-29.30
106457,-29.30
106570,-34.80
106683,-29.50
106796,-35.50
106909,-29.30
107022,-34.00
107135,-29.50
107248,-34.80
107361,-35.30
107474,-29.30
107587,-29.20
107700,-29.40
107813,-29.60
107926,-29.50
108039,-34.10
108152,-32.90
108265,-29.20
108378,-38.30
108491,-38.80
108604,-29.40
108717,-29.60
108830,-29.40
108943,-29.50
109056,-29.30
109169,-29.30
109282,-29.30
109395,-29.40
109508,-29.70
109621,-33.60
109734,-29.50
109847,-29.50
109960,-29.50
110073,-33.80
110186,-29.50
110299,-35.00
110412,-29.30
110525,-29.50
110638,-34.10
110751,-34.20
110864,-29.20
110977,-30.00
111090,-29.60
111203,-28.90
111316,-29.50
111429,-33.80
111542,-29.50
111655,-29.30
111768,-35.00
111881,-33.80
111994,-29.30
112107,-29.40
112220,-35.00
112333,-29.70
112446,-37.60
112559,-33.70
112672,-29.40
112785,-29.40
112898,-29.80
113011,-29.40
113124,-35.00
113237,-29.40
113350,-29.60
113463,-29.30
113576,-35.30
113689,-29.60
113802,-29.30
113915,-34.90
114028,-29.90
114141,-34.60
114254,-29.40
114367,-35.60
114480,-35.20
114593,-29.40
114706,-35.30
114819,-29.60
114932,-29.40
115045,-29.40
115158,-29.90
115271,-29.60
115384,-33.70
115497,-35.40
115610,-32.30
115723,-29.30
115836,-29.60
115949,-38.80
116062,-38.40
116175,-33.70
116288,-34.70
116401,-29.50
116514,-34.30
116627,-29.50
116740,-29.60
116853,-29.20
116966,-35.40
117079,-29.20
117192,-29.40
117305,-29.50
117418,-29.90
117531,-33.30
117644,-29.40
117757,-29.70
117870,-35.40
117983,-29.50
118096,-35.10
118209,-34.30
118322,-29.70
118435,-35.00
118548,-29.90
118661,-29.50
118774,-33.80
118887,-34.90
119000,-29.80
119113,-29.20
119226,-29.60
119339,-29.40
119452,-29.40
119565,-29.50
119678,-29.90
119791,-29.30
119904,-29.20
120017,-29.40
120130,-29.50
120243,-39.10
120356,-38.30
120469,-29.50
120582,-29.50
120695,-33.30
120808,-30.00
120921,-35.40
121034,-29.90
121147,-29.40
121260,-35.00
121373,-34.30
121486,-34.40
121599,-33.70
121712,-29.60
121825,-29.40
121938,-29.60
122051,-35.40
122164,-29.60
122277,-33.90
122390,-33.70
122503,-33.40
122616,-35.40
122729,-32.20
122842,-34.20
122955,-35.10
123068,-34.10
123181,-29.60
123294,-29.20
123407,-34.30
123520,-34.10
123633,-33.60
123746,-34.20
123859,-33.80
123972,-29.60
124085,-29.50
124198,-29.90
124311,-29.20
124424,-29.50
124537,-29.50
124650,-33.60
124763,-29.40
124876,-35.50
124989,-33.90
125102,-29.40
125215,-29.30
125328,-38.90
125441,-33.80
125554,-35.30
125667,-29.50
125780,-29.30
125893,-35.30
126006,-29.20
126119,-29.20
126232,-29.40
126345,-29.40
126458,-29.70
126571,-35.20
126684,-29.60
126797,-29.60
126910,-29.40
127023,-29.50
127136,-29.10
127249,-35.30
127362,-35.20
127475,-29.30
127588,-29.50
127701,-29.50
127814,-29.30
127927,-29.40
128040,-29.30
128153,-38.20
128266,-29.40
128379,-33.50
128492,-29.80
128605,-29.30
128718,-29.80
128831,-29.80
128944,-32.40
129057,-29.50
129170,-29.30
129283,-29.60
129396,-29.60
129509,-35.40
129622,-33.90
129735,-29.60
129848,-30.20
129961,-29.60
130074,-29.60
130187,-33.30
130300,-34.50
130413,-34.20
130526,-35.20
130639,-29.30
130752,-32.80
130865,-35.10
130978,-29.80
131091,-33.70
131204,-35.60
131317,-35.10
131430,-29.50
131543,-35.20
131656,-29.30
131769,-29.50
131882,-29.40
131995,-29.20
132108,-35.20
132221,-35.30
132334,-34.40
132447,-33.90
132560,-29.20
132673,-29.40
132786,-35.30
132899,-29.80
133012,-35.20
133125,-35.40
133238,-34.80
133351,-29.40
133464,-29.40
133577,-29.40
133690,-38.90
133803,-29.30
133916,-34.10
134029,-33.80
134142,-34.20
134255,-29.10
134368,-29.50
134481,-34.30
134594,-32.70
134707,-35.30
134820,-29.20
134933,-29.60
135046,-29.40
135159,-29.60
135272,-32.20
135385,-29.60
135498,-34.50
135611,-33.90
135724,-34.90
135837,-29.30
135950,-29.50
136063,-29.20
136176,-35.30
136289,-33.80
136402,-32.60
136515,-33.80
136628,-29.50
136741,-29.50
136854,-29.30
136967,-29.50
137080,-35.00
137193,-29.50
137306,-35.40
137419,-29.60
137532,-29.30
137645,-29.50
137758,-29.60
137871,-29.40
137984,-33.60
138097,-35.00
138210,-29.30
138323,-29.40
138436,-33.80
138549,-29.60
138662,-35.00
138775,-29.50
138888,-30.00
139001,-34.20
139114,-34.20
139227,-34.20
139340,-29.60
139453,-29.50
139566,-29.50
139679,-29.50
139792,-35.20
139905,-33.30
140018,-34.80
140131,-29.60
140244,-33.80
140357,-34.60
140470,-35.40
140583,-29.30
140696,-29.40
140809,-29.60
140922,-35.00
141035,-29.50
141148,-29.40
141261,-29.60
141374,-29.30
141487,-33.90
141600,-35.00
141713,-29.70
141826,-29.30
141939,-33.80
142052,-29.40
142165,-29.30
142278,-34.70
142391,-29.20
142504,-29.60
142617,-34.20
142730,-29.40
142843,-33.90
142956,-34.80
143069,-29.70
143182,-29.40
143295,-29.80
143408,-33.60
143521,-29.40
143634,-29.60
143747,-29.70
143860,-29.40
143973,-34.10
144086,-29.40
144199,-38.50
144312,-29.50
144425,-31.20
144538,-29.80
144651,-33.80
144764,-33.90
144877,-29.60
144990,-29.60
145103,-29.40
145216,-35.30
145329,-32.10
145442,-29.60
145555,-34.30
145668,-34.50
145781,-29.50
145894,-29.30
146007,-35.30
146120,-34.30
146233,-35.40
146346,-35.30
146459,-29.50
146572,-35.10
146685,-33.30
146798,-30.00
146911,-29.60
147024,-38.60
147137,-35.40
147250,-29.60
147363,-29.50
147476,-29.70
147589,-29.50
147702,-29.30
147815,-29.40
147928,-35.10
148041,-35.40
148154,-29.80
148267,-33.70
148380,-29.50
148493,-29.60
148606,-29.30
148719,-33.90
148832,-29.40
148945,-29.50
149058,-29.90
149171,-33.60
149284,-29.50
149397,-33.90
149510,-33.90
149623,-35.40
149736,-29.30
149849,-29.70
149962,-29.60
150075,-35.10
150188,-34.00
150301,-29.50
150414,-33.80
150527,-34.10
150640,-34.90
150753,-29.90
150866,-33.90
150979,-29.90
151092,-29.60
151205,-29.30
151318,-38.80
151431,-33.90
151544,-29.30
151657,-33.70
151770,-32.80
151883,-34.10
151996,-29.40
152109,-29.80
152222,-29.20
152335,-34.10
152448,-29.70
152561,-29.60
152674,-29.20
152787,-29.30
152900,-35.10
153013,-34.10
153126,-29.80
153239,-29.90
153352,-29.30
153465,-29.50
153578,-30.10
153691,-29.40
153804,-32.20
153917,-29.50
154030,-29.20
154143,-33.70
154256,-35.40
154369,-29.70
154482,-29.30
154595,-29.20
154708,-30.10
154821,-35.50
154934,-33.20
155047,-29.50
155160,-29.80
155273,-34.30
155386,-29.50
155499,-34.70
155612,-33.50
155725,-34.20
155838,-30.10
155951,-33.80
156064,-33.80
156177,-34.30
156290,-34.30
156403,-29.50
156516,-29.40
156629,-29.40
156742,-29.50
156855,-32.60
156968,-29.50
157081,-29.80
157194,-29.50
157307,-37.60
157420,-33.90
157533,-29.30
157646,-29.60
157759,-34.30
157872,-34.20
157985,-29.40
158098,-32.30
158211,-29.50
158324,-33.60
158437,-33.20
158550,-33.90
158663,-29.30
158776,-29.30
158889,-29.70
159002,-29.50
159115,-29.60
159228,-29.80
159341,-29.40
159454,-29.40
159567,-29.30
159680,-29.50
159793,-29.50
159906,-29.40
160019,-29.20
160132,-34.20
160245,-34.30
160358,-30.60
160471,-29.40
160584,-35.20
160697,-29.70
160810,-29.30
160923,-29.80
161036,-29.50
161149,-29.40
161262,-34.10
161375,-32.70
161488,-29.90
161601,-29.50
161714,-35.20
161827,-29.40
161940,-35.50
162053,-35.20
162166,-29.50
162279,-29.60
162392,-34.20
162505,-29.40
162618,-33.80
162731,-29.60
162844,-32.20
162957,-29.10
163070,-34.30
163183,-29.70
163296,-29.40
163409,-29.50
163522,-33.80
163635,-29.20
163748,-32.40
163861,-33.70
163974,-29.20
164087,-29.50
164200,-29.60
164313,-29.30
164426,-29.40
164539,-34.60
164652,-29.40
164765,-29.40
164878,-29.80
164991,-29.40
165104,-34.10
165217,-29.20
165330,-29.60
165443,-34.10
165556,-29.30
165669,-35.30
165782,-29.50
165895,-39.10
166008,-38.30
166121,-29.60
166234,-29.60
166347,-29.60
166460,-34.10
166573,-29.80
166686,-33.70
166799,-34.80
166912,-29.50
167025,-29.60
167138,-29.60
167251,-34.30
167364,-29.50
167477,-33.90
167590,-33.80
167703,-29.50
167816,-29.20
167929,-29.40
168042,-35.30
168155,-34.10
168268,-30.00
168381,-29.40
168494,-29.20
168607,-35.20
168720,-33.70
168833,-29.60
168946,-34.60
169059,-35.00
169172,-29.40
169285,-34.90
169398,-34.90
169511,-29.40
169624,-33.70
169737,-35.00
169850,-29.40
169963,-29.30
170076,-35.20
170189,-29.60
170302,-35.30
170415,-29.60
170528,-30.10
170641,-35.30
170754,-29.20
170867,-35.20
170980,-29.60
171093,-29.20
171206,-34.00
171319,-29.40
171432,-29.10
171545,-38.20
171658,-34.70
171771,-32.10
171884,-33.40
171997,-35.40
172110,-33.70
172223,-33.80
172336,-33.40
172449,-35.30
172562,-29.40
172675,-33.80
172788,-33.80
172901,-33.90
173014,-29.40
173127,-33.90
173240,-29.50
173353,-35.50
173466,-29.90
173579,-29.60
173692,-35.30
173805,-29.50
173918,-33.80
174031,-29.40
174144,-33.80
174257,-29.40
174370,-34.90
174483,-29.40
174596,-34.30
174709,-35.10
174822,-29.20
174935,-29.10
175048,-29.80
175161,-29.60
175274,-29.60
175387,-29.40
175500,-34.00
175613,-33.70
175726,-29.40
175839,-29.20
175952,-34.20
176065,-29.50
176178,-29.80
176291,-34.90
176404,-35.30
176517,-29.40
176630,-29.50
176743,-29.10
176856,-29.10
176969,-29.20
177082,-33.90
177195,-37.10
177308,-38.50
177421,-29.10
177534,-29.30
177647,-35.00
177760,-34.10
177873,-35.30
177986,-29.40
178099,-29.60
178212,-29.60
178325,-33.70
178438,-30.00
178551,-29.50
178664,-29.50
178777,-35.00
178890,-35.50
179003,-29.40
179116,-35.30
179229,-32.10
179342,-32.30
179455,-35.10
179568,-30.00
179681,-29.20
179794,-34.00
179907,-29.50
180020,-35.20
180133,-29.30
180246,-35.50
180359,-34.30
180472,-33.70
180585,-34.30
180698,-33.90
180811,-34.20
180924,-31.50
181037,-29.20
181150,-29.30
181263,-29.60
181376,-29.20
181489,-37.60
181602,-35.40
181715,-34.50
181828,-29.90
181941,-29.50
182054,-35.40
182167,-29.60
182280,-29.80
182393,-33.80
182506,-29.30
182619,-33.70
182732,-29.20
182845,-32.50
182958,-34.10
183071,-29.60
183184,-29.50
183297,-35.30
183410,-29.50
183523,-29.30
183636,-33.90
183749,-35.30
183862,-35.30
183975,-35.30
184088,-34.90
184201,-29.50
184314,-29.50
184427,-29.50
184540,-29.40
184653,-29.30
184766,-31.90
184879,-35.20
184992,-29.20
185105,-38.00
185218,-34.30
185331,-29.50
185444,-29.00
185557,-29.30
185670,-35.50
185783,-35.50
185896,-29.80
186009,-34.10
186122,-29.10
186235,-29.50
186348,-29.90
186461,-29.40
186574,-29.20
186687,-29.50
186800,-33.70
186913,-29.30
187026,-33.00
187139,-34.40
187252,-29.80
187365,-35.30
187478,-30.10
187591,-29.50
187704,-29.40
187817,-35.20
187930,-33.90
188043,-30.40
188156,-29.60
188269,-34.50
188382,-34.40
188495,-29.40
188608,-29.90
188721,-34.20
188834,-34.80
188947,-30.00
189060,-35.20
189173,-29.50
189286,-34.20
189399,-29.50
189512,-34.20
189625,-35.10
189738,-32.60
189851,-33.90
189964,-29.80
190077,-35.10
190190,-29.30
190303,-34.20
190416,-35.40
190529,-29.40
190642,-34.60
190755,-29.40
190868,-34.90
190981,-29.60
191094,-34.10
191207,-34.30
191320,-33.70
191433,-35.30
191546,-29.20
191659,-29.80
191772,-33.70
191885,-29.40
191998,-29.60
192111,-33.70
192224,-33.80
192337,-29.60
192450,-29.30
192563,-29.60
192676,-34.20
192789,-29.30
192902,-29.60
193015,-38.00
193128,-33.70
193241,-29.20
193354,-29.40
193467,-34.50
193580,-34.40
193693,-34.30
193806,-29.30
193919,-29.30
194032,-29.40
194145,-29.20
194258,-30.20
194371,-33.80
194484,-35.30
194597,-29.50
194710,-29.50
194823,-34.10
194936,-33.60
195049,-29.60
195162,-33.90
195275,-29.10
195388,-30.00
195501,-29.30
195614,-34.10
195727,-29.30
195840,-32.20
195953,-29.30
196066,-29.40
196179,-35.20
196292,-34.10
196405,-35.40
196518,-30.90
196631,-29.50
196744,-32.10
